record_id,first_name,surname,full_name,email,address,phone_number,date_of_birth,uk_nino,pan_number,uk_sort_code,uk_account_number,uk_iban,data_version,data_source,original_record_id,address_first_line,address_town_city,address_postcode,address_corruption_type,place_name_corruption,card_number_corruption,first_name_corruption,last_name_corruption,email_domain_corruption,phone_corruption,date_corruption,nino_corruption
11,Ellie,Dixon,Ellie Dixon,matthew.patrick.mp@pixelcraft.net,"Shripney Rd, Bognor Regis PO22 9TR, UK",+44 7658719889,09 June 1994,CL 23 00 56 C,4986790840906186,45-77-99,43501923,GB13ABCD45779943501923,clean,mplist_650,11,Shripney Rd,Bognor Regis,PO22 9TR,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
12,Calum,Shanker,Calum Shanker,ellie.chowns.mp@cyberflow.co.uk,"Luker Rd, Southend-on-Sea SS1 1LH, UK",+44 7877165934,17 September 1960,AX 55 39 33 B,342731746197408,70-04-22,86121505,GB16ABCD70042286121505,clean,mplist_650,12,Luker Rd,Southend-on-Sea,SS1 1LH,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
13,Jon,Lammy,Jon Lammy,chris.vince.mp@datafusion.net,"53 Tylacelyn Rd, Tonypandy CF40 1JU, UK",07555657252,1985-10-23,AK 68 25 49 C,4263775687494676,58-87-15,40558521,GB98ABCD58871540558521,clean,mplist_650,13,53 Tylacelyn Rd,Tonypandy,CF40 1JU,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
14,Preet Kaur,Nichols,Preet Kaur Nichols,jonathan.davies.mp@creativehub.org,"5 Kingsmead Way, Clapton, London E9 5QG, UK",+44 7002141341,16/10/2000,BL 54 27 63 A,340410273604108,29-27-27,64821516,GB29ABCD29272764821516,clean,mplist_650,14,5 Kingsmead Way,London,E9 5QG,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
15,Ashley,Dean,Ashley Dean,kate.osamor.mp@carepoint-medical.co.uk,"Telford Way Ind. Estate, 3 Vernon Court, Henson Way, Kettering NN16 8PX, United Kingdom",+44 7835903410,07-05-1997,AT 74 49 67 B,4335280111127415,72-30-74,40540838,GB89ABCD72307440540838,clean,mplist_650,15,Telford Way Ind. Estate,Kettering,NN16 8PX,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
16,Gregor,Cane,Gregor Cane,joani.reid.mp@protonmail.com,"Michael Robbins Way, Raunds, Ringstead, Wellingborough NN9 6GR, UK",+44 7478388215,21 March 1993,CB 14 70 56 C,348020339871366,56-44-00,94276698,GB38ABCD56440094276698,clean,mplist_650,16,Michael Robbins Way,Wellingborough,NN9 6GR,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
17,Andrew,Mohamed,Andrew Mohamed,andrew.pakes.mp@tutanota.com,"22-24 Queens Dr, Liverpool L15 7NE, UK",+44 7976659990,1968-11-12,CK 22 26 14 A,5655597206574864,18-54-90,43221974,GB57ABCD18549043221974,clean,mplist_650,17,22-24 Queens Dr,Liverpool,L15 7NE,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
18,Tracy,Freeman,Tracy Freeman,colum.eastwood.mp@yahoo.com,"84 S Ealing Rd, Ealing, London W5 4QB, UK",+44 7617915425,16-04-1956,AT 53 81 00 C,4101401284667288,29-91-56,52214980,GB40ABCD29915652214980,clean,mplist_650,18,84 S Ealing Rd,London,W5 4QB,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
19,Emily,Bowie,Emily Bowie,sian.berry.mp@cyberflow.co.uk,"8 Market St, Winterton, Scunthorpe DN15 9PT, UK",+44 7640189447,1997-09-01,AS 73 62 13 C,5251746723075317,48-31-22,17842391,GB51ABCD48312217842391,clean,mplist_650,19,8 Market St,Scunthorpe,DN15 9PT,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
20,Jonathan,Smart,Jonathan Smart,steff.aquarone.mp@blackstone-advisory.net,"28 High St, Wendover, Aylesbury HP22 6EA, UK",+44 7699156919,31/08/1952,AB 45 70 22 A,4118452167051891,85-84-08,91242160,GB74ABCD85840891242160,clean,mplist_650,20,28 High St,Aylesbury,HP22 6EA,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
21,Helen,Duncan Smith,Helen Duncan Smith,matt.rodda.mp@intellilearn.co.uk,"25-27 Palmerston Rd, Portsmouth, Southsea PO5 3QQ, UK",+44 7865515362,26/07/1971,CE 17 97 54 A,341507987991246,15-59-69,66350059,GB37ABCD15596966350059,clean,mplist_650,21,25-27 Palmerston Rd,Southsea,PO5 3QQ,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
22,Bill,Campbell,Bill Campbell,grahame.morris.mp@hushmail.com,"Llewellyn St, Pentre CF41 7BW, UK",07711540256,1970-02-20,BA 14 42 98 B,4737426966801720,22-28-42,12611139,GB11ABCD22284212611139,clean,mplist_650,22,Llewellyn St,Pentre,CF41 7BW,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
23,Christine,Bacon,Christine Bacon,rupa.huq.mp@mailfence.com,"133 Sandgate Rd, Folkestone CT20 2BL, UK",07822341315,1986-10-18,AM 72 77 79 C,348892494598063,42-66-75,30699419,GB28ABCD42667530699419,clean,mplist_650,23,133 Sandgate Rd,Folkestone,CT20 2BL,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
24,Valerie,Coleman,Valerie Coleman,preet.gill.mp@techforge-industries.com,"79-81 Monaghan St, Newry BT35 6AY, UK",+44 7816115905,20/08/2000,BA 92 23 99 B,341035301249973,19-77-14,61606238,GB64ABCD19771461606238,clean,mplist_650,24,79-81 Monaghan St,Newry,BT35 6AY,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
25,Richard,Eshalomi,Richard Eshalomi,sarah.jones.mp@fastmail.com,"34 North St, Worthing BN11 1DU, UK",+44 7075343696,16 May 1995,AE 87 92 76 A,4978105784577978,00-27-99,77312275,GB29ABCD00279977312275,clean,mplist_650,25,34 North St,Worthing,BN11 1DU,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
26,Stephen,Duffield,Stephen Duffield,johanna.baxter.mp@blueyonder.co.uk,"64 Saddler St, Durham DH1 3PG, UK",07040759700,15/03/1982,AA 69 30 77 B,348276266019273,18-29-54,61035265,GB66ABCD18295461035265,clean,mplist_650,26,64 Saddler St,Durham,DH1 3PG,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
27,Mary Kelly,German,Mary Kelly German,john.slinger.mp@pinnacle-group.co.uk,"Sandridge Rd, Melksham SN12 7QW, UK",+44 7192178953,21/06/1971,CA 82 82 20 B,342652041019689,59-48-27,27192228,GB95ABCD59482727192228,clean,mplist_650,27,Sandridge Rd,Melksham,SN12 7QW,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
28,Sarah,Coombes,Sarah Coombes,paulette.hamilton.mp@blackstone-advisory.net,"100 High St, Poole BH15 1BL, UK",07428409771,1983-04-12,AE 37 94 63 B,5390430971496464,45-36-13,58363509,GB18ABCD45361358363509,clean,mplist_650,28,100 High St,Poole,BH15 1BL,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
29,Gill,Niblett,Gill Niblett,juliet.campbell.mp@medcare-solutions.com,"7 The Highway, Station Road, Beaconsfield HP9 1QD, United Kingdom",07376911441,2002-02-25,AK 60 96 89 C,5815130940875692,92-30-89,27899462,GB96ABCD92308927899462,clean,mplist_650,29,7 The Highway,Beaconsfield,HP9 1QD,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
30,Brian,Holden,Brian Holden,alex.burghart.mp@posteo.de,"45 Hollywood Rd, Kensington, London SW10 9HX, UK",07847062529,31-12-1984,BH 58 21 28 B,349399352738807,64-24-58,95196388,GB76ABCD64245895196388,clean,mplist_650,30,45 Hollywood Rd,London,SW10 9HX,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
31,Shockat,Freeman,Shockat Freeman,lee.pitcher.mp@icloud.com,"9 The Square, Warrenpoint, Newry BT34 3LY, UK",+44 7932659710,28/08/1993,BL 17 93 80 C,342601349505785,19-31-63,52692955,GB40ABCD19316352692955,clean,mplist_650,31,9 The Square,Newry,BT34 3LY,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
32,Jessica,Campbell,Jessica Campbell,luke.akehurst.mp@marketplace-direct.com,"398 Dedworth Rd, Windsor SL4 4JR, UK",+44 7022395386,30-10-1948,BA 36 48 87 A,4852105023075414,17-43-54,65728998,GB88ABCD17435465728998,clean,mplist_650,32,398 Dedworth Rd,Windsor,SL4 4JR,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
33,Terry,Lavery,Terry Lavery,alex.ballinger.mp@shopbridge.co.uk,"51-53 Drumalane Rd, Newry BT35 8AR, UK",+44 7843627708,1998-04-27,AX 87 29 85 C,5152939563842058,50-42-24,34533769,GB80ABCD50422434533769,clean,mplist_650,33,51-53 Drumalane Rd,Newry,BT35 8AR,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
34,Emma,McDonald,Emma McDonald,abtisam.mohamed.mp@catalyst-innovations.com,"180-182 Maxwell Rd, Beaconsfield HP9 1QX, UK",07066180456,21-02-1951,CR 01 31 19 C,5689968132200503,43-22-81,91780836,GB96ABCD43228191780836,clean,mplist_650,34,180-182 Maxwell Rd,Beaconsfield,HP9 1QX,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
35,Lee,Betts,Lee Betts,apsana.begum.mp@virginmedia.com,"33 Southside St, Town Centre, Plymouth PL1 2LE, UK",07054435170,04/09/2004,AA 47 44 69 A,345673628897618,58-12-51,32494086,GB79ABCD58125132494086,clean,mplist_650,35,33 Southside St,Plymouth,PL1 2LE,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
36,Andrew,Hendrick,Andrew Hendrick,mike.kane.mp@hotmail.com,"42 High St, Rhyl LL18 1ET, UK",07620943170,1971-07-31,BK 76 42 62 A,5265427310682818,31-51-47,66525661,GB82ABCD31514766525661,clean,mplist_650,36,42 High St,Rhyl,LL18 1ET,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
37,Matt,Mather,Matt Mather,apsana.begum.mp@brightfuture-education.org,"126 High St, Merthyr Tydfil CF47 8BT, UK",+44 7508023831,1976-07-26,BT 45 41 30 A,5501929679329037,62-88-11,84557644,GB41ABCD62881184557644,clean,mplist_650,37,126 High St,Merthyr Tydfil,CF47 8BT,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
38,Siobhain,Taylor,Siobhain Taylor,afzal.khan.mp@sky.com,"Beanacre Rd, Melksham SN12 8AG, UK",+44 7316516210,1956-10-12,AT 78 69 03 C,4241640392632767,93-25-24,78557838,GB73ABCD93252478557838,clean,mplist_650,38,Beanacre Rd,Melksham,SN12 8AG,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
39,Karl,Kyle,Karl Kyle,laura.trott.mp@protonmail.com,"40 High St, Eton, Windsor SL4 6BD, UK",07343068250,20-11-1969,AS 01 02 98 A,345039567425055,82-36-85,91655193,GB91ABCD82368591655193,clean,mplist_650,39,40 High St,Windsor,SL4 6BD,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
40,Janet,Holden,Janet Holden,claire.hanna.mp@artisanworks.org,"4th Floor, 33 Castle Street, Edinburgh EH2 3DN, United Kingdom",07322894137,1991-04-26,AK 18 56 15 C,4090882162456477,60-85-04,53557372,GB89ABCD60850453557372,clean,mplist_650,40,4th Floor,Edinburgh,EH2 3DN,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
41,James,Bacon,James Bacon,sarah.bool.mp@skillsacademy.co.uk,"24 George St, Perth PH1 5JR, UK",07799534624,21/06/1993,BH 49 67 85 A,4294582822389101,61-87-01,26135761,GB25ABCD61870126135761,clean,mplist_650,41,24 George St,Perth,PH1 5JR,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
42,Jodie,Fenton-Glynn,Jodie Fenton-Glynn,nick.thomassymonds.mp@silverbridge-capital.co.uk,"Purbeck Parade, 1-3, Lytchett Matravers, Poole BH16 6BQ, United Kingdom",+44 7538750010,01-03-1987,AX 33 94 10 A,346397900096561,86-17-69,76725575,GB58ABCD86176976725575,clean,mplist_650,42,Purbeck Parade,Poole,BH16 6BQ,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
43,Steve,Collinge,Steve Collinge,lisa.nandy.mp@production-solutions.com,"74 High St, Banchory AB31 5SS, UK",+44 7329842123,22-01-1982,CB 42 21 44 C,4115412471397352,96-91-50,54058911,GB61ABCD96915054058911,clean,mplist_650,43,74 High St,Banchory,AB31 5SS,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
44,Natalie,Gardiner,Natalie Gardiner,becky.gittins.mp@mediastream.net,"158 Causewayside, Edinburgh EH9 1PR, UK",07165834017,30 October 1956,AP 85 54 87 B,341423726042140,03-98-64,50833146,GB81ABCD03986450833146,clean,mplist_650,44,158 Causewayside,Edinburgh,EH9 1PR,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
45,Jonathan,Dearden,Jonathan Dearden,lillian.jones.mp@mailfence.com,"29 Cambridge St, Wellingborough NN8 1DW, UK",07768635820,1971-07-14,CK 59 19 01 D,348209780318116,96-08-95,76633081,GB37ABCD96089576633081,clean,mplist_650,45,29 Cambridge St,Wellingborough,NN8 1DW,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
46,Melanie,Baker,Melanie Baker,janet.daby.mp@crystal-capital.net,"The Faulkner Building, N Ormesby Rd, Middlesbrough TS4 2AP, UK",07106423299,06-04-1989,BM 48 76 00 C,345133201186462,21-30-52,51630950,GB19ABCD21305251630950,clean,mplist_650,46,The Faulkner Building,Middlesbrough,TS4 2AP,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
47,Jeremy,Vince,Jeremy Vince,andy.mcdonald.2nd@fastmail.com,"Mr Speakers Way, Tonypandy CF40 2PS, UK",+44 7212094739,1992-04-19,BA 50 81 88 D,347293196901922,02-22-97,28049355,GB36ABCD02229728049355,clean,mplist_650,47,Mr Speakers Way,Tonypandy,CF40 2PS,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
48,James,Carden,James Carden,Chris.Elmore.mp@icloud.com,"27 Mount Pleasant St, Dowlais, Merthyr Tydfil CF48 3AF, UK",+44 7207677980,25/01/2003,BH 16 32 62 A,340202997727603,45-28-33,98386261,GB13ABCD45283398386261,clean,mplist_650,48,27 Mount Pleasant St,Merthyr Tydfil,CF48 3AF,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
49,Uma,Reynolds,Uma Reynolds,pamela.nash.mp@eastgate-consulting.com,"Westbourne, Emsworth PO10 8SF, United Kingdom",+44 7078030697,19/04/1961,AH 80 96 54 B,349831347734644,34-92-12,33938975,GB83ABCD34921233938975,clean,mplist_650,49,Westbourne,Emsworth,PO10 8SF,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
50,Jacob,Ribeiro-Addy,Jacob Ribeiro-Addy,apsana.begum.mp@zoho.com,"83 High St, Rushden NN10 0NZ, UK",07739306153,2000-06-29,AH 03 55 64 A,340573485158351,10-97-11,70220375,GB61ABCD10971170220375,clean,mplist_650,50,83 High St,Rushden,NN10 0NZ,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
51,Scott,Mayhew,Scott Mayhew,helen.grant.mp@knowledge-hub.edu,"102-103 High St, Merthyr Tydfil CF47 8AP, UK",07572724246,1973-01-04,BL 96 30 05 D,349167170925369,67-18-20,98057006,GB89ABCD67182098057006,clean,mplist_650,51,102-103 High St,Merthyr Tydfil,CF47 8AP,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
52,Charlie,Mathew,Charlie Mathew,luke.charters.mp@silverbridge-capital.co.uk,"10-16 & Lower Ground Unit 18 The Thamesgate Centre, Gravesend DA11 0AU, United Kingdom",+44 7911409430,20-03-1950,CB 78 98 63 A,4553726633087974,91-45-34,89050645,GB77ABCD91453489050645,clean,mplist_650,52,10-16 & Lower Ground Unit 18 The Thamesgate Centre,Gravesend,DA11 0AU,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
53,Janet,Pakes,Janet Pakes,richard.tice.mp@knowledge-hub.edu,"Unit, 23A Pant Industrial Estate, Merthyr Tydfil CF48 2SR, United Kingdom",07577280919,1984-04-22,BM 79 54 44 D,5076722888648768,94-02-36,39320407,GB70ABCD94023639320407,clean,mplist_650,53,Unit,Merthyr Tydfil,CF48 2SR,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
54,Leigh,McIntyre,Leigh McIntyre,bill.esterson.mp@learningbridge.org,"39-41 High St, Crieff PH7 3HT, UK",07279876518,07 March 1960,CK 72 61 59 D,5498288887566627,06-14-32,99023090,GB15ABCD06143299023090,clean,mplist_650,54,39-41 High St,Crieff,PH7 3HT,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
55,Karl,Gardiner,Karl Gardiner,bayo.alaba.mp@nexus-technologies.co.uk,"59 Orton Rd, Carlisle CA2 7HA, UK",+44 7220612649,19 August 1972,BK 54 44 55 C,5875978545351546,25-66-91,48365501,GB28ABCD25669148365501,clean,mplist_650,55,59 Orton Rd,Carlisle,CA2 7HA,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
56,Luke,Nokes,Luke Nokes,alex.sobel.mp@fastmail.com,"A37, Radstock BA3 4UU, UK",07292712769,1955-06-08,BE 51 43 87 A,345222208598989,18-67-91,7910770,GB38ABCD18679107910770,clean,mplist_650,56,A37,Radstock,BA3 4UU,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
57,Frank,Hodgson,Frank Hodgson,gurinder.josan.mp@fastmail.com,"137-138 High St, Stockton-on-Tees TS18 1LP, UK",07876404415,19-03-1955,AP 91 00 06 B,4186763254887716,76-08-56,30499610,GB28ABCD76085630499610,clean,mplist_650,57,137-138 High St,Stockton-on-Tees,TS18 1LP,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
58,Sally,Lewis,Sally Lewis,simon.opher.mp@oakwood-group.net,"Hyndburn Rd, Accrington BB5 1QR, UK",07484550875,1996-05-29,CA 41 14 36 A,347257802201515,55-94-80,86389424,GB59ABCD55948086389424,clean,mplist_650,58,Hyndburn Rd,Accrington,BB5 1QR,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
59,Mike,Midgley,Mike Midgley,laura.kyrkesmith.mp@wellspring-health.com,"233/249 High St, Slough SL1 1BY, UK",+44 7679902400,18 July 1996,BH 37 95 20 A,349886576900469,06-03-14,72429395,GB89ABCD06031472429395,clean,mplist_650,59,233/249 High St,Slough,SL1 1BY,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
60,David,Foody,David Foody,sarah.edwards.mp@outlook.com,"8-12 Moss Rd Sterling Mills Outlet Shopping Village, Tillicoultry FK13 6HQ, United Kingdom",07452165666,22 October 2006,BA 41 74 68 D,4353506053544366,93-89-90,7110543,GB57ABCD93899007110543,clean,mplist_650,60,8-12 Moss Rd Sterling Mills Outlet Shopping Village,Tillicoultry,FK13 6HQ,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
61,Simon,Hamilton,Simon Hamilton,julie.minns.mp@skillsacademy.co.uk,"York Place, London Rd, Bath BA1 6AE, UK",07549959380,06-05-1970,AH 25 28 17 B,4654645980908974,99-92-72,72556938,GB86ABCD99927272556938,clean,mplist_650,61,York Place,Bath,BA1 6AE,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
62,Warinder,Collins,Warinder Collins,anneliese.midgley.mp@engineered-systems.net,"Lake End Rd, Taplow, Maidenhead SL6 0QH, UK",+44 7019146192,15 February 1955,BB 87 40 36 C,5357158762623844,12-94-57,98000231,GB79ABCD12945798000231,clean,mplist_650,62,Lake End Rd,Maidenhead,SL6 0QH,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
63,Alison,Myer,Alison Myer,jack.abbott.mp@production-solutions.com,"91 High St, Cefn-coed-y-cymmer, Merthyr Tydfil CF48 2PN, UK",07151035477,25/11/1951,AB 93 29 30 A,4398420834685519,31-38-33,86605777,GB99ABCD31383386605777,clean,mplist_650,63,91 High St,Merthyr Tydfil,CF48 2PN,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
64,Zarah,Moon,Zarah Moon,brian.mathew.mp@amber-financial.co.uk,"26 The Stade, Folkestone CT19 6AE, UK",+44 7791513612,23/04/2004,CL 55 54 60 A,5346098225635153,83-60-14,25290765,GB83ABCD83601425290765,clean,mplist_650,64,26 The Stade,Folkestone,CT19 6AE,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
65,Dawn,Campbell,Dawn Campbell,jodie.gosling.mp@precision-engineering.co.uk,"5 Echo Square, Gravesend DA12 1NP, UK",+44 7170988132,11-02-1956,AT 88 81 92 D,343953282430646,09-82-02,60602259,GB13ABCD09820260602259,clean,mplist_650,65,5 Echo Square,Gravesend,DA12 1NP,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
66,Liz,Gilmour,Liz Gilmour,david.smith.mp@tutanota.com,"Lakeside retail park, Unit 3b, Blaina Rd, Brynmawr NP23 4PS, United Kingdom",+44 7330106047,12 August 1999,AE 35 81 37 C,348148674972813,89-07-29,2475397,GB47ABCD89072902475397,clean,mplist_650,66,Lakeside retail park,Brynmawr,NP23 4PS,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
67,Paul,Stone,Paul Stone,sian.berry.mp@hotmail.com,"71 Milltown Street Burren County Down, Rathgannon, Warrenpoint, Newry BT34 3TU, United Kingdom",+44 7986074380,19/04/1986,CA 45 84 27 D,5493958084637366,35-10-89,43789644,GB26ABCD35108943789644,clean,mplist_650,67,71 Milltown Street Burren County Down,Newry,BT34 3TU,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
68,Naushabah,Rand,Naushabah Rand,seamus.logan.mp@oakwood-group.net,"49 High St, Arundel BN18 9AG, UK",07285132965,23 November 1971,AY 35 31 80 A,4614803091688117,79-39-94,19517468,GB69ABCD79399419517468,clean,mplist_650,68,49 High St,Arundel,BN18 9AG,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
69,Richard,Fenton-Glynn,Richard Fenton-Glynn,darren.paffey.mp@precision-engineering.co.uk,"Oxford St, Manchester M1 6EQ, UK",+44 7548000889,06 April 1986,BB 70 32 79 D,343697189115265,84-28-44,63537219,GB40ABCD84284463537219,clean,mplist_650,69,Oxford St,Manchester,M1 6EQ,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
70,Louise,Harris,Louise Harris,alan.strickland.mp@pixelcraft.net,"Oxford Rd The Eden Centre, High Wycombe Eden, High Wycombe HP11 2DH, United Kingdom",+44 7202498777,1981-09-19,AE 58 77 15 C,4161161810919552,81-59-35,67618635,GB52ABCD81593567618635,clean,mplist_650,70,Oxford Rd The Eden Centre,High Wycombe,HP11 2DH,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change,no_change
